CLIENT_ID;SEX;CHILD_FLAG;REALTY_FLAG;ACCOUNTS_FLAG;E_MAIL_FLAG;DCI;PROFIT_FAMILY;UCI;FOREIGN_PASSPORT_FLAG;STANDING_IN_MONTHS_LAST;EDUCATION;TRANSPORT_AMOUNT;Target
1;1;0;1;0;1;14370.2002;14370.2002;0.0000;0;26;3;1;1
2;1;1;1;0;0;28312.8594;33312.8594;0.0000;1;19;3;2;1
3;1;0;0;0;1;34729.5117;34729.5117;0.0000;0;66;3;0;1
4;0;0;0;0;0;28738.4707;28738.4707;0.0000;0;20;3;0;1
5;0;1;0;0;0;73310.0000;73310.0000;0.0000;0;25;3;0;1
6;1;1;1;0;0;25920.5195;37000.0000;0.0000;0;38;3;0;1
7;1;0;1;1;0;0.0000;16243.8096;7000.0000;0;71;5;1;1
8;1;1;1;0;0;17400.0000;17400.0000;0.0000;0;59;3;3;1
9;1;1;1;0;0;33383.8203;48383.8203;0.0000;0;228;5;0;1
10;0;1;1;0;0;16197.6504;30000.0000;0.0000;0;71;3;1;1
11;1;0;1;0;0;16612.6309;25000.0000;0.0000;0;25;5;0;1
12;0;0;0;1;0;0.0000;11000.0000;0.0000;0;0;5;0;1
13;1;0;1;0;0;16504.9004;36000.0000;0.0000;0;90;6;1;1
14;1;1;0;0;1;75690.0000;110000.0000;0.0000;1;59;3;0;1
15;1;1;0;0;0;16090.2402;17100.0000;0.0000;0;6;6;0;1
16;1;1;0;0;0;16267.8398;18300.0000;2000.0000;0;20;5;1;1
17;1;1;0;0;1;22186.0000;40000.0000;0.0000;0;30;4;0;1
18;0;1;1;0;0;13920.0000;38920.0000;0.0000;0;210;3;0;1
19;1;1;0;0;1;29098.1992;60000.0000;0.0000;0;62;5;1;1
20;1;1;0;0;0;8307.7803;38310.0000;10000.0000;0;114;5;0;1
21;1;0;1;0;0;7833.1299;7833.1299;0.0000;0;36;3;1;1
22;0;0;0;0;0;8872.0000;23872.0000;15000.0000;1;13;6;0;1
23;1;1;1;0;0;23270.8594;26000.0000;0.0000;0;43;5;0;1
24;0;1;0;0;0;14739.6602;17000.0000;0.0000;0;8;6;0;1
25;0;0;0;0;0;20490.4902;17000.0000;2000.0000;0;49;4;0;1
26;1;0;0;0;0;24932.9492;34000.0000;0.0000;0;52;6;1;1
27;0;1;1;0;0;23776.3398;40000.0000;0.0000;0;10;3;0;1
28;0;1;1;0;1;15050.7402;15050.7402;0.0000;0;15;3;0;1
29;1;0;0;0;0;44785.2891;60000.0000;7000.0000;0;31;3;0;1
30;0;1;1;0;0;12798.4600;12798.4600;0.0000;0;61;5;0;1
31;1;0;0;0;1;36247.8008;50000.0000;0.0000;0;17;6;0;1
32;0;0;1;0;0;6758.4102;31758.4102;5000.0000;0;60;6;0;1
33;1;0;1;1;0;0.0000;48000.0000;0.0000;0;36;5;1;1
34;1;0;0;0;0;13050.6104;18050.6094;0.0000;0;16;5;0;1
35;1;0;1;0;1;52200.0000;100000.0000;10000.0000;0;10;3;0;1
36;1;0;1;0;1;18197.5000;28197.5000;10000.0000;1;12;5;0;1
37;0;0;1;0;1;11201.0801;11201.0801;0.0000;0;15;4;0;1
38;0;0;1;0;0;18657.4902;18657.4902;0.0000;0;55;5;0;1
39;1;0;0;0;1;5727.0000;37800.0000;20000.0000;0;13;4;1;1
40;1;1;1;1;0;0.0000;30000.0000;0.0000;0;78;6;1;1
41;0;0;0;0;0;25549.4707;25549.4707;0.0000;0;163;6;0;1
42;1;0;0;0;0;6202.7900;33200.0000;12000.0000;0;12;5;0;1
43;0;0;1;0;0;22107.3906;22107.3906;0.0000;0;53;3;1;1
44;1;1;1;0;0;21750.0000;40000.0000;15000.0000;0;12;5;0;1
45;1;0;0;1;0;0.0000;7057.1499;0.0000;0;0;5;0;1
46;0;0;0;0;1;81067.5625;110000.0000;0.0000;1;10;2;1;1
47;0;1;0;0;0;67778.6719;100460.0000;0.0000;0;170;3;0;1
48;0;1;1;0;0;164399.1719;164399.1719;0.0000;1;36;2;0;1
49;1;0;0;0;0;18884.2207;23884.2207;5000.0000;0;112;4;0;1
50;0;1;0;0;1;23742.4102;23742.4102;0.0000;0;130;4;0;1
51;0;0;0;0;0;12476.8096;15000.0000;0.0000;0;19;6;0;1
52;0;0;1;0;0;7684.2900;7684.2900;0.0000;0;40;5;0;1
53;1;1;1;0;0;29544.6191;45000.0000;0.0000;1;139;3;1;1
54;0;0;0;0;0;12933.5098;12933.5098;0.0000;0;30;6;0;1
55;0;0;1;0;1;25041.8496;75000.0000;0.0000;1;9;3;0;1
56;1;1;0;0;0;44832.8984;71800.0000;0.0000;0;77;5;0;1
57;1;1;1;0;0;29313.1504;39313.1484;0.0000;0;44;5;1;1
58;1;0;1;0;1;17301.0195;19886.2305;0.0000;1;6;2;0;1
59;0;1;0;1;0;0.0000;18399.0000;1000.0000;0;0;3;0;1
60;0;1;1;0;0;7003.9800;7003.9800;0.0000;0;7;5;0;1
61;1;0;1;0;1;13649.4297;12649.4297;0.0000;0;7;5;0;1
62;0;0;1;0;1;10005.0000;10005.0000;0.0000;1;36;2;0;1
63;1;0;0;0;0;19549.0098;19549.0098;0.0000;0;42;6;0;1
